model,accuracy,macro_f1,train_seconds,prediction_seconds_per_sample
Random Forest,0.97125,0.971150897197319,1.4122362999987672,4.2204299999866635e-05
MLPClassifier,0.9545,0.9542408820495574,25.308484999997745,1.35370000043622e-06
SVM RBF,0.9485,0.9484346494640276,2.598182599998836,0.0007870006999992256
KNN,0.94325,0.9431707817219431,0.023835100000724196,0.0005468781749996197
Logistic Regression,0.77425,0.7727621911421441,0.5683122999980696,5.748749999838765e-07
